scan_shift_deg,cr,x,y,method,r,n
0.0,all,pfss_equator_abs_mean,speed_mean,pearson,0.03568621121010823,216
0.0,all,pfss_equator_abs_mean,speed_mean,spearman,0.025777896061432836,216
0.0,all,pfss_equator_abs_mean,bmag_mean,pearson,0.056345573133599156,216
0.0,all,pfss_equator_abs_mean,bmag_mean,spearman,0.047516641065028155,216
0.0,all,pfss_equator_abs_mean,density_mean,pearson,-0.022948245704392214,216
0.0,all,pfss_equator_abs_mean,density_mean,spearman,-0.02519558461043832,216
0.0,all,pfss_equator_abs_mean,pdyn_mean,pearson,0.04096159127118754,216
0.0,all,pfss_equator_abs_mean,pdyn_mean,spearman,-0.0189606925540909,216
0.0,all,pfss_equator_abs_mean,ma_mean,pearson,-0.001179310098319771,216
0.0,all,pfss_equator_abs_mean,ma_mean,spearman,-0.05025661177199061,216
0.0,all,pfss_midlat_abs_mean,speed_mean,pearson,0.021626900624417886,216
0.0,all,pfss_midlat_abs_mean,speed_mean,spearman,0.035486879595103035,216
0.0,all,pfss_midlat_abs_mean,bmag_mean,pearson,0.052331489177142025,216
0.0,all,pfss_midlat_abs_mean,bmag_mean,spearman,0.03192464782862382,216
0.0,all,pfss_midlat_abs_mean,density_mean,pearson,-0.01622285618717086,216
0.0,all,pfss_midlat_abs_mean,density_mean,spearman,-0.009719096440776861,216
0.0,all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.0385980115932858,216
0.0,all,pfss_midlat_abs_mean,pdyn_mean,spearman,-0.003824765715238333,216
0.0,all,pfss_midlat_abs_mean,ma_mean,pearson,0.0041726843506870665,216
0.0,all,pfss_midlat_abs_mean,ma_mean,spearman,-0.03154002786410888,216
0.0,all,pfss_global_abs_mean,speed_mean,pearson,-0.027620372576905767,216
0.0,all,pfss_global_abs_mean,speed_mean,spearman,0.035332674239414025,216
0.0,all,pfss_global_abs_mean,bmag_mean,pearson,0.0268616717767692,216
0.0,all,pfss_global_abs_mean,bmag_mean,spearman,0.020062158396742042,216
0.0,all,pfss_global_abs_mean,density_mean,pearson,-0.017919746515743004,216
0.0,all,pfss_global_abs_mean,density_mean,spearman,0.004978625608783148,216
0.0,all,pfss_global_abs_mean,pdyn_mean,pearson,0.002590614165795377,216
0.0,all,pfss_global_abs_mean,pdyn_mean,spearman,0.009379725883851914,216
0.0,all,pfss_global_abs_mean,ma_mean,pearson,-0.007382100306094661,216
0.0,all,pfss_global_abs_mean,ma_mean,spearman,-0.01973231403088867,216
0.0,2281,pfss_equator_abs_mean,speed_mean,pearson,-0.14455876556370256,36
0.0,2281,pfss_equator_abs_mean,speed_mean,spearman,-0.24118404118404121,36
0.0,2281,pfss_equator_abs_mean,bmag_mean,pearson,0.024569195169305853,36
0.0,2281,pfss_equator_abs_mean,bmag_mean,spearman,0.08751608751608753,36
0.0,2281,pfss_equator_abs_mean,density_mean,pearson,-0.1364664375383706,36
0.0,2281,pfss_equator_abs_mean,density_mean,spearman,-0.19073359073359075,36
0.0,2281,pfss_equator_abs_mean,pdyn_mean,pearson,-0.2504865239273152,36
0.0,2281,pfss_equator_abs_mean,pdyn_mean,spearman,-0.3763191763191764,36
0.0,2281,pfss_equator_abs_mean,ma_mean,pearson,-0.31218279737423593,36
0.0,2281,pfss_equator_abs_mean,ma_mean,spearman,-0.31943371943371945,36
0.0,2281,pfss_midlat_abs_mean,speed_mean,pearson,-0.12931501659709083,36
0.0,2281,pfss_midlat_abs_mean,speed_mean,spearman,-0.24633204633204633,36
0.0,2281,pfss_midlat_abs_mean,bmag_mean,pearson,0.03613307450977241,36
0.0,2281,pfss_midlat_abs_mean,bmag_mean,spearman,0.112998712998713,36
0.0,2281,pfss_midlat_abs_mean,density_mean,pearson,-0.11899904292595906,36
0.0,2281,pfss_midlat_abs_mean,density_mean,spearman,-0.1485199485199485,36
0.0,2281,pfss_midlat_abs_mean,pdyn_mean,pearson,-0.22017899125555163,36
0.0,2281,pfss_midlat_abs_mean,pdyn_mean,spearman,-0.338996138996139,36
0.0,2281,pfss_midlat_abs_mean,ma_mean,pearson,-0.2998783103944692,36
0.0,2281,pfss_midlat_abs_mean,ma_mean,spearman,-0.2962676962676963,36
0.0,2281,pfss_global_abs_mean,speed_mean,pearson,-0.09611909483833767,36
0.0,2281,pfss_global_abs_mean,speed_mean,spearman,-0.11325611325611327,36
0.0,2281,pfss_global_abs_mean,bmag_mean,pearson,0.07049080883758414,36
0.0,2281,pfss_global_abs_mean,bmag_mean,spearman,0.12432432432432433,36
0.0,2281,pfss_global_abs_mean,density_mean,pearson,-0.07045763529833082,36
0.0,2281,pfss_global_abs_mean,density_mean,spearman,-0.1685971685971686,36
0.0,2281,pfss_global_abs_mean,pdyn_mean,pearson,-0.13935330625462988,36
